"filename", "language", "JavaScript", "Ini", "JSON", "Groovy", "Batch", "Properties", "C++", "MATLAB", "XML", "Java", "comment", "blank", "total"
"/Users/chautuananh/Desktop/Coding_projects/Personal_project/stockapp/src/sagas/searchSaga.js", "JavaScript", 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 59
"/Users/chautuananh/Desktop/Coding_projects/Personal_project/stockapp/src/sagas/signUpSaga.js", "JavaScript", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 31
"/Users/chautuananh/Desktop/Coding_projects/Personal_project/stockapp/src/screens/Drawer.js", "JavaScript", 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 69
"/Users/chautuananh/Desktop/Coding_projects/Personal_project/stockapp/src/screens/LoginScreen.js", "JavaScript", 111, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 115
"/Users/chautuananh/Desktop/Coding_projects/Personal_project/stockapp/src/screens/MainScreen.js", "JavaScript", 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 56
"/Users/chautuananh/Desktop/Coding_projects/Personal_project/stockapp/src/screens/MarketScreen.js", "JavaScript", 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 76
"/Users/chautuananh/Desktop/Coding_projects/Personal_project/stockapp/src/screens/NewsScreen.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"/Users/chautuananh/Desktop/Coding_projects/Personal_project/stockapp/src/screens/ProfileScreen.js", "JavaScript", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 26
"/Users/chautuananh/Desktop/Coding_projects/Personal_project/stockapp/src/screens/SignUpScreen.js", "JavaScript", 165, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 172
"/Users/chautuananh/Desktop/Coding_projects/Personal_project/stockapp/src/screens/StockInfo.js", "JavaScript", 135, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14, 152
"/Users/chautuananh/Desktop/Coding_projects/Personal_project/stockapp/src/screens/TransactionScreen.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"/Users/chautuananh/Desktop/Coding_projects/Personal_project/stockapp/src/screens/WatchList.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"/Users/chautuananh/Desktop/Coding_projects/Personal_project/stockapp/testAPI.json", "JSON", 0, 0, 153, 0, 0, 0, 0, 0, 0, 0, 0, 0, 153
"Total", "-", 1359, 45, 27549, 127, 68, 8, 5, 110, 201, 128, 188, 261, 30049
